ymd,count
2024-10-21,90
2024-10-22,209
2024-10-23,152
2024-10-24,459
2024-10-25,192
2024-10-26,146
2024-10-27,236
2024-10-28,206
2024-10-29,237
2024-10-30,213
2024-10-31,169
2024-11-01,170
2024-11-02,311
2024-11-03,149
2024-11-04,138
2024-11-05,157
2024-11-06,165
2024-11-07,101
2024-11-08,131
2024-11-09,301
2024-11-10,145
2024-11-11,126
2024-11-12,124
2024-11-13,173
2024-11-14,158
2024-11-15,139
2024-11-16,124
2024-11-17,262
2024-11-18,226
2024-11-19,167
2024-11-20,127
2024-11-21,176
2024-11-22,91
2024-11-23,113
2024-11-24,125
2024-11-25,582
2024-11-26,245
2024-11-27,198
2024-11-28,163
2024-11-29,115
2024-11-30,147
2024-12-01,172
2024-12-02,210
2024-12-03,109
2024-12-04,106
2024-12-05,157
2024-12-06,99
2024-12-07,123
2024-12-08,146
2024-12-09,84
2024-12-10,259
2024-12-11,89
2024-12-12,263
2024-12-13,168
2024-12-14,158
2024-12-15,182
2024-12-16,77
2024-12-17,205
2024-12-18,136
2024-12-19,144
2024-12-20,143
2024-12-21,115
2024-12-22,125
2024-12-23,159
2024-12-24,206
2024-12-25,96
2024-12-26,129
2024-12-27,104
2024-12-28,123
2024-12-29,90
2024-12-30,99
2024-12-31,148
2025-01-01,97
2025-01-02,72
