country,count
United States,1908
Poland,1241
Hong Kong,939
Germany,932
China,851
Netherlands,794
Taiwan,542
Switzerland,537
Singapore,505
United Kingdom,465
Lithuania,399
Seychelles,396
Japan,307
India,289
Indonesia,268
Bulgaria,250
Portugal,238
France,201
Russia,183
South Korea,160
Kazakhstan,96
Canada,91
Belgium,87
Brazil,70
Vietnam,69
Ukraine,52
None,41
Iran,31
Denmark,29
Italy,29
Thailand,26
Romania,25
Mauritius,24
Australia,23
Monaco,15
Mongolia,14
Egypt,11
Turkey,9
Austria,8
Hungary,8
Moldova,7
Mexico,4
Cambodia,4
Greece,4
Malaysia,4
Palestine,4
Bangladesh,3
Israel,3
Spain,3
Nigeria,3
Norway,3
Serbia,3
Argentina,3
Ireland,3
United Arab Emirates,2
Azerbaijan,2
Georgia,2
Colombia,2
Slovakia,2
Pakistan,2
Kosovo,2
Morocco,2
Albania,2
South Africa,2
Bosnia and Herzegovina,1
Gibraltar,1
Uruguay,1
Guatemala,1
Latvia,1
Ecuador,1
Venezuela,1
Nicaragua,1
Puerto Rico,1
Turkmenistan,1
Paraguay,1
Costa Rica,1
Kuwait,1
Benin,1
Sweden,1
Iraq,1
Dominican Republic,1
